exp_id,page_id,fix_seq_id,row_id
585,1226,0,0
585,1226,1,2
585,1226,2,3
585,1226,3,4
585,1226,4,5
585,1226,5,6
585,1226,6,7
585,1226,7,8
585,1226,8,9
585,1226,9,10
585,1226,10,11
585,1226,11,12
585,1226,12,13
585,1226,13,14
902,1588,0,0
902,1588,1,2
902,1588,2,3
902,1588,3,6
902,1588,4,7
902,1588,5,8
902,1588,6,9
902,1588,7,10
902,1588,8,11
902,1588,9,12
902,1588,10,13
902,1588,11,14
902,1588,12,15
941,1642,0,0
941,1642,1,2
941,1642,2,3
941,1642,3,4
941,1642,4,5
941,1642,5,6
941,1642,6,7
941,1642,7,8
941,1642,8,9
941,1642,9,10
941,1642,10,11
941,1642,11,13
941,1642,12,12
965,1692,0,2
965,1692,1,0
965,1692,2,3
965,1692,3,4
965,1692,4,5
965,1692,5,6
965,1692,6,7
965,1692,7,8
965,1692,8,9
965,1692,9,10
965,1692,10,11
965,1692,11,12
965,1692,12,13
965,1692,13,14
965,1692,14,17
965,1692,15,18
965,1693,16,19
965,1693,17,20
965,1693,18,21
965,1693,19,22
965,1693,20,23
1071,1819,0,2
1071,1819,1,0
1071,1819,2,1
1071,1819,3,3
1071,1819,4,5
1071,1819,5,6
1071,1819,6,7
1071,1819,7,8
1071,1819,8,9
1071,1819,9,10
1071,1819,10,11
1071,1819,11,12
1071,1819,12,13
1071,1819,13,14
1071,1819,14,15
1071,1819,15,17
1071,1819,16,18
1071,1819,17,19
1071,1820,18,20
1071,1820,19,21
1071,1820,20,22
1071,1820,21,23
1071,1820,22,24
1071,1820,23,25
1071,1820,24,26
1819,2690,0,0
1819,2690,1,2
1819,2690,2,1
1819,2690,3,3
1819,2690,4,4
1819,2690,5,5
1819,2690,6,6
1819,2690,7,7
1819,2690,8,8
1819,2690,9,9
1819,2690,10,10
1819,2690,11,11
1819,2690,12,12
