exp_id,page_id,fix_seq_id,row_idx,article_id,user,sentence_id,word,need_prediction,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,fixation_duration_mean,number_of_fixations_mean,reading_times_mean,fixation_duration_var,number_of_fixations_var,reading_times_var,fixation_duration_div_syllable,fixation_duration_div_length,backward_times_of_sentence,forward_times_of_sentence,horizontal_saccade_proportion,saccade_duration,saccade_times_of_sentence,saccade_velocity,total_dwell_time_of_sentence,backward_times_of_sentence_div_log,forward_times_of_sentence_div_log,horizontal_saccade_proportion_div_log,saccade_duration_div_log,saccade_times_of_sentence_div_log,saccade_velocity_div_log,total_dwell_time_of_sentence_div_log,backward_times_of_sentence_div_syllable,forward_times_of_sentence_div_syllable,horizontal_saccade_proportion_div_syllable,saccade_duration_div_syllable,saccade_times_of_sentence_div_syllable,saccade_velocity_div_syllable,total_dwell_time_of_sentence_div_syllable
585,1226,0,0,12,ys,0,A,0,1,1,1,0,0,0,0,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,judge,1,1,1,1,1,3,927,927,3,1,373.853,1.018,0.725,228698.872,1.351,0.529,927.0,185.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,in,1,1,1,1,1,1,245,-682,-2,0,373.853,1.018,0.725,228698.872,1.351,0.529,245.0,122.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,the,0,1,1,1,0,0,0,-245,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,US,1,1,1,1,1,1,321,321,1,1,373.853,1.018,0.725,228698.872,1.351,0.529,321.0,160.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,State,1,1,1,1,1,1,203,-118,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,203.0,40.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,of,1,1,1,1,1,1,208,5,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,208.0,104.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,Arizona,1,1,1,1,1,2,575,367,1,0,373.853,1.018,0.725,228698.872,1.351,0.529,287.5,82.143,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,has,0,1,1,1,0,0,0,-575,-2,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,ruled,1,1,1,1,1,1,332,332,1,1,373.853,1.018,0.725,228698.872,1.351,0.529,332.0,66.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,that,1,1,1,1,1,1,375,43,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,375.0,93.75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,a,0,1,1,1,0,0,0,-375,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,1901,0,1,1,1,0,0,0,0,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,ban,1,1,1,1,1,1,440,440,1,1,373.853,1.018,0.725,228698.872,1.351,0.529,440.0,146.667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,on,1,1,1,1,2,2,1252,812,1,1,373.853,1.018,0.725,228698.872,1.351,0.529,1252.0,626.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,nearly,1,1,1,1,1,1,207,-1045,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,103.5,34.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,all,0,1,1,1,0,0,0,-207,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,abortions,1,0,1,1,1,3,1336,1336,3,1,373.853,1.018,0.725,228698.872,1.351,0.529,668.0,148.444,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,can,0,1,1,1,0,0,0,-1336,-3,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,now,1,1,1,1,1,2,591,591,2,1,373.853,1.018,0.725,228698.872,1.351,0.529,591.0,197.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,be,1,1,1,1,1,3,854,263,1,0,373.853,1.018,0.725,228698.872,1.351,0.529,854.0,427.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,0,reintroduced,1,1,1,1,2,2,1160,306,-1,1,373.853,1.018,0.725,228698.872,1.351,0.529,386.667,96.667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,Only,1,1,1,1,1,4,1508,348,2,-1,373.853,1.018,0.725,228698.872,1.351,0.529,754.0,377.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,terminations,1,1,1,1,1,1,272,-1236,-3,0,373.853,1.018,0.725,228698.872,1.351,0.529,68.0,22.667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,to,0,1,1,1,0,0,0,-272,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,save,0,1,1,1,0,0,0,0,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,the,1,1,1,1,1,1,578,578,1,1,373.853,1.018,0.725,228698.872,1.351,0.529,578.0,192.667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,mother's,1,1,1,1,1,2,664,86,1,0,373.853,1.018,0.725,228698.872,1.351,0.529,332.0,83.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,life,1,1,1,1,1,1,283,-381,-1,0,373.853,1.018,0.725,228698.872,1.351,0.529,283.0,70.75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,will,0,1,1,1,0,0,0,-283,-1,-1,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,1226,0,0,12,ys,1,be,0,1,1,1,0,0,0,0,0,0,373.853,1.018,0.725,228698.872,1.351,0.529,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
